evaluations raw_y current_y raw_y_best current_y_best x0 x1
38 138.9754465903 288.1254465903 138.9754465903 288.1254465903 -2.950988 3.365972
39 137.5667325564 286.7167325564 137.5667325564 286.7167325564 -2.951384 3.361282
40 136.1361223178 285.2861223178 136.1361223178 285.2861223178 -2.950890 3.353111
41 134.7595056661 283.9095056661 134.7595056661 283.9095056661 -2.950310 3.344819
42 133.4383268678 282.5883268678 133.4383268678 282.5883268678 -2.949717 3.336697
43 132.1830755322 281.3330755322 132.1830755322 281.3330755322 -2.949096 3.328733
44 130.9820920007 280.1320920007 130.9820920007 280.1320920007 -2.948475 3.320989
45 129.8395100699 278.9895100699 129.8395100699 278.9895100699 -2.947834 3.313407
46 128.7515020751 277.9015020751 128.7515020751 277.9015020751 -2.947177 3.305990
47 127.7195080882 276.8695080882 127.7195080882 276.8695080882 -2.946502 3.298741
48 126.7323372301 275.8823372301 126.7323372301 275.8823372301 -2.945825 3.291674
49 125.8067588344 274.9567588344 125.8067588344 274.9567588344 -2.945113 3.284740
50 124.8998352819 274.0498352819 124.8998352819 274.0498352819 -2.944441 3.278023
51 124.0667516358 273.2167516358 124.0667516358 273.2167516358 -2.943678 3.271296
52 123.2451633156 272.3951633156 123.2451633156 272.3951633156 -2.942993 3.264905
53 122.4862820238 271.6362820238 122.4862820238 271.6362820238 -2.942220 3.258460
54 121.7403914973 270.8903914973 121.7403914973 270.8903914973 -2.941510 3.252305
55 121.0440165164 270.1940165164 121.0440165164 270.1940165164 -2.940736 3.246133
56 120.3608651689 269.5108651689 120.3608651689 269.5108651689 -2.940010 3.240192
57 119.7504731125 268.9004731125 119.7504731125 268.9004731125 -2.939176 3.234183
58 119.0559659539 268.2059659539 119.0559659539 268.2059659539 -2.938597 3.228725
59 118.5934622202 267.7434622202 118.5934622202 267.7434622202 -2.937490 3.222386
60 117.7804985307 266.9304985307 117.7804985307 266.9304985307 -2.937342 3.217956
61 117.7065115515 266.8565115515 117.7065115515 266.8565115515 -2.935369 3.210232
62 116.1871629791 265.3371629791 116.1871629791 265.3371629791 -2.937081 3.209339
65 114.5600687854 263.7100687854 114.5600687854 263.7100687854 -2.935069 3.193964
68 113.8025857230 262.9525857230 113.8025857230 262.9525857230 -2.931297 3.176219
70 112.6378184511 261.7878184511 112.6378184511 261.7878184511 -2.930530 3.167680
73 111.2917679367 260.4417679367 111.2917679367 260.4417679367 -2.928614 3.153941
74 86.8227735537 235.9727735537 86.8227735537 235.9727735537 -2.979445 3.216632
75 135.8923812629 285.0423812629 86.8227735537 235.9727735537 -2.843521 2.959183
80 54.5158083089 203.6658083089 54.5158083089 203.6658083089 -3.025349 3.186661
85 71.1663452622 220.3163452622 54.5158083089 203.6658083089 -0.254801 0.113205
90 57.7165351879 206.8665351879 54.5158083089 203.6658083089 -0.309094 -0.054836
94 53.8606615762 203.0106615762 53.8606615762 203.0106615762 -0.305029 -0.074570
95 52.9104277693 202.0604277693 52.9104277693 202.0604277693 -0.317377 -0.099494
96 52.0505590479 201.2005590479 52.0505590479 201.2005590479 -0.335046 -0.131261
97 51.2456687753 200.3956687753 51.2456687753 200.3956687753 -0.348116 -0.155571
98 50.4932192898 199.6432192898 50.4932192898 199.6432192898 -0.358733 -0.175796
99 49.7710521059 198.9210521059 49.7710521059 198.9210521059 -0.367659 -0.193293
100 49.0973834102 198.2473834102 49.0973834102 198.2473834102 -0.375663 -0.209067
evaluations raw_y current_y raw_y_best current_y_best x0 x1
1 8622.4362917566 8771.5862917566 8622.4362917566 8771.5862917566 -4.221749 -0.620123
2 571.4908570336 720.6408570336 571.4908570336 720.6408570336 0.778251 4.379877
5 162391.4130548581 162540.5630548581 571.4908570336 720.6408570336 5.000000 -5.000000
7 133.0960481632 282.2460481632 133.0960481632 282.2460481632 1.230476 5.000000
9 124.8442500027 273.9942500027 124.8442500027 273.9942500027 1.238482 5.000000
10 114.6783775968 263.8283775968 114.6783775968 263.8283775968 1.248685 5.000000
11 105.4646809287 254.6146809287 105.4646809287 254.6146809287 1.258298 5.000000
12 97.0734567119 246.2234567119 97.0734567119 246.2234567119 1.267397 5.000000
13 89.3907269197 238.5407269197 89.3907269197 238.5407269197 1.276056 5.000000
